Deep Learning with 9 features
#,Data Point,,MI_dir_L1_weight,H_L1_weight,MI_dir_L3_weight,H_L3_weight,MI_dir_L0.1_weight,H_L0.1_weight,MI_dir_L5_weight,H_L5_weight,MI_dir_L0.01_weight,,Predicted,,True
11,[2.24326637 2.24326637 1.159711672 1.159711672 8.346181688 8.346181688 1.033777353 1.033777353 29.34008488],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
12,[1.04943108 1.04943108 1.000032846 1.000032846 2.464440539 2.464440539 1.000000024 1.000000024 14.49760164],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
13,[1.842740983 1.842740983 1.59852477 1.59852477 2.8350904710000004 2.8350904710000004 1.425079552 1.425079552 15.40329385],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
14,[1.237087202 1.237087202 1.003028163 1.003028163 10.47909528 10.47909528 1.000061063 1.000061063 103.4205442],,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,H_L5_weight <= 2.62,,0,,0
15,[2.605976855 2.605976855 2.006160274 2.006160274 8.920750928 8.920750928 2.000028345 2.000028345 33.44769759],,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
16,[2.109595147 2.109595147 1.73489604 1.73489604 10.8874709 10.8874709 1.598060229 1.598060229 40.34404497],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,H_L3_weight <= 2.95,H_L5_weight <= 2.62,,0,,0
17,[1.059971709 1.059971709 1.000086669 1.000086669 8.781344413 8.781344413 1.000000163 1.000000163 95.43466586],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,H_L3_weight <= 2.95,MI_dir_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
18,[9.704700382999999 9.704700382999999 8.90624741 8.90624741 30.44525185 30.44525185 8.806315022 8.806315022 223.0954374],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,3.06 < MI_dir_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,2.62 < H_L5_weight <= 92.61,2.95 < H_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.62 < MI_dir_L5_weight <= 92.61,,0,,0
19,[6.196337238 6.196337238 5.941270362000001 5.941270362000001 13.312095499999998 13.312095499999998 5.89739419 5.89739419 102.6582136],,11.01 < MI_dir_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,11.01 < H_L0.1_weight <= 3427.45,3.06 < MI_dir_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,2.62 < MI_dir_L5_weight <= 92.61,2.95 < H_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.62 < H_L5_weight <= 92.61,,0,,0
20,[1.154037717 1.154037717 1.000146195 1.000146195 5.302263657 5.302263657 1.000000139 1.000000139 35.91596174],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,H_L5_weight <= 2.62,,0,,0
21,[2.999122584 2.999122584 2.996919135 2.996919135 4.231920448 4.231920448 2.994867863 2.994867863 36.84998059],,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,2.95 < H_L3_weight <= 140.94,2.95 < MI_dir_L3_weight <= 140.94,2.62 < MI_dir_L5_weight <= 92.61,2.62 < H_L5_weight <= 92.61,,0,,0
22,[3.365038041 3.365038041 2.991405659 2.991405659 12.97202312 12.97202312 2.9786571 2.9786571 102.7381977],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,3.06 < MI_dir_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.62 < MI_dir_L5_weight <= 92.61,2.62 < H_L5_weight <= 92.61,,0,,0
23,[2.330029499 2.330029499 1.744974175 1.744974175 11.41807273 11.41807273 1.6072922790000002 1.6072922790000002 101.0306229],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
24,[1.001155847 1.001155847 1.000000001 1.000000001 2.3456063730000003 2.3456063730000003 1.0 1.0 27.91947036],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
25,[2.020097375 2.020097375 1.1430607659999998 1.1430607659999998 39.15795589 39.15795589 1.032180927 1.032180927 180.5616959],,11.01 < H_L0.1_weight <= 3427.45,11.01 < MI_dir_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,H_L5_weight <= 2.62,,0,,0
26,[2.491258907 2.491258907 1.231927524 1.231927524 33.13476487 33.13476487 1.04999913 1.04999913 218.3543426],,11.01 < MI_dir_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,11.01 < H_L0.1_weight <= 3427.45,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
27,[1.060419734 1.060419734 1.000049195 1.000049195 4.434181261 4.434181261 1.000000043 1.000000043 41.24507932],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
28,[1.001573175 1.001573175 1.0 1.0 4.05292803 4.05292803 1.0 1.0 32.58300241],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,H_L5_weight <= 2.62,,0,,0
29,[3.225671193 3.225671193 2.694336477 2.694336477 11.35472472 11.35472472 2.504249884 2.504249884 97.9784029],,MI_dir_L0.01_weight <= 100.09,11.01 < H_L0.1_weight <= 3427.45,11.01 < MI_dir_L0.1_weight <= 3427.45,MI_dir_L3_weight <= 2.95,3.06 < MI_dir_L1_weight <= 372.30,H_L5_weight <= 2.62,3.06 < H_L1_weight <= 372.30,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,,0,,0
30,[1.041773834 1.041773834 1.000018224 1.000018224 2.900963571 2.900963571 1.000000008 1.000000008 27.13617225],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,H_L3_weight <= 2.95,MI_dir_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
31,[3.987938853 3.987938853 3.120027864 3.120027864 11.78186637 11.78186637 2.997156487 2.997156487 48.16716482],,MI_dir_L0.01_weight <= 100.09,11.01 < H_L0.1_weight <= 3427.45,11.01 < MI_dir_L0.1_weight <= 3427.45,3.06 < MI_dir_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.95 < H_L3_weight <= 140.94,2.62 < H_L5_weight <= 92.61,2.62 < MI_dir_L5_weight <= 92.61,,0,,0
32,[2.013206945 2.013206945 1.999998303 1.999998303 6.701051081 6.701051081 1.999996695 1.999996695 34.75348676],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
33,[1.000000032 1.000000032 1.0 1.0 1.708263633 1.708263633 1.0 1.0 30.10280135],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
34,[7.542804137 7.542804137 5.217389968 5.217389968 33.36462103 33.36462103 4.917918107 4.917918107 183.7227872],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,3.06 < MI_dir_L1_weight <= 372.30,2.62 < H_L5_weight <= 92.61,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.62 < MI_dir_L5_weight <= 92.61,,0,,0
35,[1.826802837 1.826802837 1.142028238 1.142028238 12.29194391 12.29194391 1.03814618 1.03814618 97.19458222],,MI_dir_L0.01_weight <= 100.09,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
36,[2.276015708 2.276015708 1.872433517 1.872433517 10.55532441 10.55532441 1.781931636 1.781931636 103.2254564],,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
37,[1.999978694 1.999978694 1.999933072 1.999933072 2.746219317 2.746219317 1.999888456 1.999888456 20.01634394],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,H_L5_weight <= 2.62,,0,,0
38,[1.000000007 1.000000007 1.0 1.0 1.811530586 1.811530586 1.0 1.0 27.9500008],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
39,[2.084496774 2.084496774 1.903700651 1.903700651 10.40031941 10.40031941 1.844576831 1.844576831 101.8121485],,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
40,[9.122769557 9.122769557 7.290860638 7.290860638 24.46269308 24.46269308 6.773553656 6.773553656 74.29178757],,MI_dir_L0.01_weight <= 100.09,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,3.06 < H_L1_weight <= 372.30,3.06 < MI_dir_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,2.62 < H_L5_weight <= 92.61,2.62 < MI_dir_L5_weight <= 92.61,,0,,0
41,[1.850758847 1.850758847 1.157782021 1.157782021 3.607652223 3.607652223 1.030180867 1.030180867 29.72255117],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
42,[1.000000008 1.000000008 1.0 1.0 1.874228637 1.874228637 1.0 1.0 27.64452969],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
43,[2.086379675 2.086379675 1.844479056 1.844479056 11.12887305 11.12887305 1.7543156219999998 1.7543156219999998 100.0256721],,MI_dir_L0.01_weight <= 100.09,11.01 < H_L0.1_weight <= 3427.45,11.01 < MI_dir_L0.1_weight <= 3427.45,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,H_L5_weight <= 2.62,,0,,0
44,[2.096438661 2.096438661 1.985692363 1.985692363 5.657225907999999 5.657225907999999 1.975523241 1.975523241 36.87062516],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
45,[1.031163454 1.031163454 1.000030259 1.000030259 2.8758865360000003 2.8758865360000003 1.000000029 1.000000029 29.53628213],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L5_weight <= 2.62,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,,0,,0
46,[1.496813416 1.496813416 1.044262894 1.044262894 9.844152778 9.844152778 1.005413742 1.005413742 95.05966242],,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L5_weight <= 2.62,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,,0,,0
47,[2.326770719 2.326770719 1.097058784 1.097058784 11.15838689 11.15838689 1.007792744 1.007792744 103.428736],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
48,[3.10926944 3.10926944 2.9924714760000004 2.9924714760000004 13.83340868 13.83340868 2.987196702 2.987196702 107.2743284],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,3.06 < MI_dir_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.95 < H_L3_weight <= 140.94,2.62 < H_L5_weight <= 92.61,2.62 < MI_dir_L5_weight <= 92.61,,0,,0
49,[1.7853454359999998 1.7853454359999998 1.0538194909999998 1.0538194909999998 4.475378546 4.475378546 1.003688234 1.003688234 28.97986226],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
50,[3.788280039 3.788280039 2.7100683830000003 2.7100683830000003 30.9667648 30.9667648 2.395834475 2.395834475 201.3114825],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L3_weight <= 2.95,3.06 < MI_dir_L1_weight <= 372.30,H_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,3.06 < H_L1_weight <= 372.30,H_L5_weight <= 2.62,,0,,0
51,[778.9940698 778.9940698 237.4555558 237.4555558 4692.161270000001 4692.161270000001 129.9955079 129.9955079 6766.361039],,MI_dir_L1_weight > 710.26,3427.45 < MI_dir_L0.1_weight <= 6431.98,100.09 < MI_dir_L0.01_weight <= 11161.10,3427.45 < H_L0.1_weight <= 6431.98,H_L1_weight > 710.26,140.94 < MI_dir_L3_weight <= 252.04,92.61 < H_L5_weight <= 155.08,140.94 < H_L3_weight <= 252.04,92.61 < MI_dir_L5_weight <= 155.08,,1,,1
52,[511.0606209 511.0606209 212.8850494 212.8850494 6336.539157 6336.539157 133.725052 133.725052 32236.50693],,MI_dir_L0.01_weight > 29578.76,3427.45 < MI_dir_L0.1_weight <= 6431.98,3427.45 < H_L0.1_weight <= 6431.98,372.30 < MI_dir_L1_weight <= 710.26,140.94 < MI_dir_L3_weight <= 252.04,372.30 < H_L1_weight <= 710.26,140.94 < H_L3_weight <= 252.04,92.61 < H_L5_weight <= 155.08,92.61 < MI_dir_L5_weight <= 155.08,,1,,1
53,[768.3290450000002 768.3290450000002 243.8726026 243.8726026 7482.126753 7482.126753 137.619727 137.619727 38318.03872],,MI_dir_L0.1_weight > 6431.98,MI_dir_L0.01_weight > 29578.76,H_L0.1_weight > 6431.98,MI_dir_L1_weight > 710.26,H_L1_weight > 710.26,140.94 < H_L3_weight <= 252.04,92.61 < H_L5_weight <= 155.08,140.94 < MI_dir_L3_weight <= 252.04,92.61 < MI_dir_L5_weight <= 155.08,,1,,1
54,[194.833843 194.833843 59.17464401 59.17464401 1019.457691 1019.457691 30.27943966 30.27943966 3897.036082],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,3.06 < H_L1_weight <= 372.30,3.06 < MI_dir_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,2.62 < MI_dir_L5_weight <= 92.61,2.62 < H_L5_weight <= 92.61,,1,,1
55,[331.7831817 331.7831817 206.2209836 206.2209836 1251.988887 1251.988887 153.90514140000005 153.90514140000005 6118.715911],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,3.06 < H_L1_weight <= 372.30,3.06 < MI_dir_L1_weight <= 372.30,140.94 < MI_dir_L3_weight <= 252.04,140.94 < H_L3_weight <= 252.04,92.61 < H_L5_weight <= 155.08,92.61 < MI_dir_L5_weight <= 155.08,,1,,1
56,[665.6799578 665.6799578 264.9827609 264.9827609 5279.2500869999985 5279.2500869999985 161.6616193 161.6616193 11062.86221],,100.09 < MI_dir_L0.01_weight <= 11161.10,3427.45 < H_L0.1_weight <= 6431.98,3427.45 < MI_dir_L0.1_weight <= 6431.98,MI_dir_L3_weight > 252.04,H_L3_weight > 252.04,H_L5_weight > 155.08,372.30 < MI_dir_L1_weight <= 710.26,372.30 < H_L1_weight <= 710.26,MI_dir_L5_weight > 155.08,,1,,1
57,[798.8673751 798.8673751 267.7798099 267.7798099 7645.203258 7645.203258 157.51733059999995 157.51733059999995 29963.39263],,MI_dir_L0.01_weight > 29578.76,MI_dir_L0.1_weight > 6431.98,H_L0.1_weight > 6431.98,MI_dir_L3_weight > 252.04,MI_dir_L1_weight > 710.26,H_L1_weight > 710.26,H_L3_weight > 252.04,MI_dir_L5_weight > 155.08,H_L5_weight > 155.08,,1,,1
58,[802.2524495 802.2524495 268.9335672 268.9335672 7879.231755 7879.231755 161.8626645 161.8626645 26284.88882],,MI_dir_L0.1_weight > 6431.98,H_L0.1_weight > 6431.98,MI_dir_L1_weight > 710.26,MI_dir_L3_weight > 252.04,H_L1_weight > 710.26,H_L5_weight > 155.08,H_L3_weight > 252.04,11161.10 < MI_dir_L0.01_weight <= 29578.76,MI_dir_L5_weight > 155.08,,1,,1
